score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;F88B22001130002;RETI DISTRIBUZIONE IDRICA CONFERENZA TERRITORIALE TOSCANA 6 OMBRONE;Ambiente / rifiuti / depurazione;TOSCANA;SIENA;ABBADIA SAN SALVATORE;42396157.0;ACQUEDOTTO DEL FIORA SPA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F88B22001130002
100;F17H21008310001;S.S. N. 260 PICENTE;Infrastrutture / parcheggi;LAZIO;RIETI;RIETI;42000000.0;ANAS S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F17H21008310001
100;I55E17000050005;NUOVO POLO DI BIOLOGIA;Residenziale pubblico / ERS;TOSCANA;PISA;PISA;42000000.0;UNIVERSITA' DI PISA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I55E17000050005
100;I51E24000220007;INFRASTRUTTURA PER LA GESTIONE DELLE ATTREZZATURE INFORMATIZZATE PER LA RACCOLTA DIFFERENZIATA DEI RIFIUTI URBANI;Ambiente / rifiuti / depurazione;TOSCANA;PISA;PISA;41911350.0;soggetto privato;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I51E24000220007
100;F85F07001480002;REGIONE LAZIO - DIREZIONE REGIONALE REGIONE LAZIO-DIREZIONE REGIONALE AMBIENTE E COOPERAZIONE TRA I POPOLI -AREA DIFESA DEL SUOLO AREE NATURALI PROTETTE REGIONALI;Riqualificazione urbana;LAZIO;TUTTE;TUTTI;41637980.0;REGIONE LAZIO;chiuso;CHIUSO D'UFFICIO;https://www.opencup.gov.it/portale/progetto/-/cup/F85F07001480002
100;B17H21000700001;INTERVENTO DI RIQUALIFICAZIONE E RIFUNZIONALIZZAZIONE DEL COMPLESSO EDILIZIO DEFINITO ANATOMIA PATOLOGICA ALL'INTERNO DEL CAMPUS CAREGGI;Riqualificazione urbana;TOSCANA;FIRENZE;FIRENZE;41464113.0;UNIVERSITA' DEGLI STUDI DI FIRENZE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B17H21000700001
100;D46E11000140003;PALESTRA DEL POLO DIDATTICO DI POGGIO MIRTETO;Sport / impianti sportivi;LAZIO;RIETI;POGGIO MIRTETO;41174090.0;AMMINISTRAZIONE PROVINCIALE DI RIETI;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/D46E11000140003
100;D89E11001690001;CASERMA ZIGNANI, COMPRENSORIO DELLA LABICANA, COMPRENSORIO DELLA CECCHIGNOLA, CASERMA RUFFO;Residenziale pubblico / ERS;LAZIO;ROMA;ROMA;41100000.0;MINISTERO DELLA DIFESA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D89E11001690001
100;J81H07000040001;INCARICO CORDINATORE DELLA SICUREZZA PER L'INTERVENTO DI RESTAURO DELLA VILLA ROMANA DELL'AUDITORIUM;Cultura / centri civici;LAZIO;ROMA;ROMA;41000000.0;ROMA CAPITALE;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J81H07000040001
100;J84F25000270007;CONTRATTO DI PARTENARIATO PUBBLICO PRIVATO AVENTE AD OGGETTO LA RIQUALIFICAZIONE ENERGETICA ED EDILIZIA DEL PATRIMONIO DI EDILIZIA RESIDENZIALE PUBBLICA DEL COMUNE DI ROMA CAPITALE.;Riqualificazione urbana;LAZIO;ROMA;ROMA;41000000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J84F25000270007
100;F93G22000030001;38 POLI CIVICI CULTURALI NEI COMUNI DELLAREA METROPOLITANA.;Riqualificazione urbana;LAZIO;ROMA;RIOFREDDO;40975000.0;CITTA' METROPOLITANA DI ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F93G22000030001
100;J86I12000110009;MANUTENZIONE STRAORDINARIA PER LA RISTRUTTURAZIONE DELL'IMPIANTO IDRICO ANTINCENDIO E RIFACIMENTO DEL MANTO STRADALE CEDETO A SEGUITO DI UNA PERDITA D'ACQUA CAUSATA DALLA ROTTURA DI UN TUBO.;Infrastrutture / parcheggi;LAZIO;ROMA;ROMA;40965000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J86I12000110009
