score;cup;title;category;region;province;municipality;value_eur;client;source_url
100;B12F06000030005;POLO SCIENTIFICO E TECNOLOGICO DI SESTO FIORENTINO (FI) E FACOLTA' DI AGRARIA, FIRENZE: MANUTENZIONE IMPIANTI IDRICO SANITARI ED IMPIANTO ANTINCENDIO, PARTE IDRAULICA;Residenziale pubblico / ERS;TOSCANA;FIRENZE;SESTO FIORENTINO;167000000.0;UNIVERSITA' DEGLI STUDI DI FIRENZE;https://www.opencup.gov.it/portale/progetto/-/cup/B12F06000030005
100;I97H03000220002;Lavori di consolidamento Ponte S.Giacomo sulla s.p. n. 83 Subappennina.;Infrastrutture / parcheggi;MARCHE;FERMO;MONTEFORTINO;166350000.0;AMMINISTRAZIONE PROVINCIALE DI ASCOLI PICENO;https://www.opencup.gov.it/portale/progetto/-/cup/I97H03000220002
100;D15F13000060004;GARA A PROCEDURA APERTA PER LA SELEZIONE DEL SOCIO PRIVATO DI S.A.PRO.DI.R. S.R.L. CON ATTRIBUZIONE DI SPECIFICI COMPITI OPERATIVI CONNESSI ALLO SVOLGIMENTO DEL SERVIZIO DI GESTIONE INTEGRATA DEI RIFIUTI URBANI CON IL SISTEMA CD. PORTA A PORTA;Ambiente / rifiuti / depurazione;LAZIO;RIETI;ANTRODOCO;166062728.0;AMMINISTRAZIONE PROVINCIALE DI RIETI;https://www.opencup.gov.it/portale/progetto/-/cup/D15F13000060004
100;B28H23000310003;PROPOSTA EX ART. 183 COMMA 15 D. LGS. 50/2016 PER LA PROGETTAZIONE, RISTRUTTURAZIONE, AMPLIAMENTO E GESTIONE DELLA RSA VILLA SERENA SITA IN MONTAIONE (FI);Sanità / RSA;TOSCANA;FIRENZE;MONTAIONE;165890253.0;UNIONE DEI COMUNI CIRCONDARIO DELL'EMPOLESE VALDELSA;https://www.opencup.gov.it/portale/progetto/-/cup/B28H23000310003
100;J49D03000020004;PALASPORT, VIA DEI CONDOTTI VECCHI: REALIZZAZIONE MAGAZZINO DI SERVIZIO;Industriale / logistica;TOSCANA;LIVORNO;LIVORNO;165600000.0;COMUNE DI LIVORNO - LI -;https://www.opencup.gov.it/portale/progetto/-/cup/J49D03000020004
100;I27H03000250003;S.P. n. 45 Morico. Lavori di sistemazione del corpo stradale e del piano viabile.;Infrastrutture / parcheggi;MARCHE;FERMO;MONSAMPIETRO MORICO;165000000.0;AMMINISTRAZIONE PROVINCIALE DI ASCOLI PICENO;https://www.opencup.gov.it/portale/progetto/-/cup/I27H03000250003
100;E84G07000020004;LINEA B1, METROPOLITANA DI ROMA;Riqualificazione urbana;LAZIO;ROMA;ROMA;164448427.0;soggetto privato;https://www.opencup.gov.it/portale/progetto/-/cup/E84G07000020004
100;F51E03000000004;LAVORI DI REALIZZAZIONE DI UN PARCHEGGIO SULLA VIA E. FERMI.;Infrastrutture / parcheggi;TOSCANA;FIRENZE;GAMBASSI TERME;164000000.0;COMUNE DI GAMBASSI TERME - FIRENZE -;https://www.opencup.gov.it/portale/progetto/-/cup/F51E03000000004
100;F21B16000440001;E 78, S.G.C. GROSSETO FANO;Infrastrutture / parcheggi;TOSCANA;SIENA;MONTICIANO;163849039.0;ANAS S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/F21B16000440001
100;E81I08000000005;CORRIDOI EUR TOR DÈ CENCI ED EUR LAURENTINA TOR PAGNOTTA;Infrastrutture / parcheggi;LAZIO;ROMA;ROMA;163318913.0;soggetto privato;https://www.opencup.gov.it/portale/progetto/-/cup/E81I08000000005
