cig;cup_count;cups
7893512C28;1;F81B16001030001
7893533D7C;1;F81B16001030001
7894717E8D;1;E25E18000110005
7895520538;1;H41H14000130009
7913753B8F;1;H17B16000800005
7913841430;1;H17B16000800005
7915086797;1;H17B16000800005
7916951AA2;1;H17B16000800005
7918228873;1;H17B16000800005
7918345900;1;H17B16000800005
7918348B79;1;F36G02000220007
7921514027;1;C69G15001840001
792410497A;1;B49E18000390004
79269917E8;1;C69G15001840001
7928701B0A;1;G95E18000180001
793153910B;1;H17B16000800005
793207180E;1;H17B16000800005
793223710D;1;H17B16000800005
7933030F70;1;B46D08000000007
793430077C;1;H17B16000800005
7936292357;1;C69G15001840001
79366960BC;1;H17B16000800005
7936769CF6;1;H17B16000800005
7937009307;1;H17B16000800005
7939577A33;1;B46D08000000007
794840929B;1;C69G15001840001
7952286202;1;H17B16000800005
79620435BC;1;G67H19001090006
79620592F1;1;G67H19001090006
796207829F;1;G67H19001090006
796220181E;1;G67H19001090006
79622207CC;1;G67H19001090006
796223977A;1;G67H19001090006
79622543DC;1;G67H19001090006
79622597FB;1;G67H19001090006
7962276603;1;G67H19001090006
7962458C32;1;H41H14000130009
7963973E69;1;H17B16000800005
797049548C;1;H17B16000800005
7972037D09;1;H17B16000800005
79740634F4;1;F67H19001540001
7976441F54;1;C69G15001840001
797679644C;1;H17B16000800005
797848561A;1;H17B16000800005
7979263820;1;H17B16000800005
798331364B;1;B61E16000780001
7984047403;1;H17B16000800005
7984115C1E;1;H17B16000800005
79846906A1;1;F43J13000000003
798484133E;1;C69G15001840001
7986979792;1;H17B16000800005
7986987E2A;1;H17B16000800005
799077976E;1;H17B16000800005
7991987C4C;1;F21B03000350001
799201643D;1;F21B03000350001
79925236A0;1;I91B15000180004
7993749A59;1;G86I18000050001
7997321E0D;1;F84E07000270001
7998871D27;1;C69G15001840001
80000645A8;1;E15B20000440002
80000813B0;1;E15B20000440002
80000856FC;1;E15B20000440002
8000118239;1;E15B20000440002
800012472B;1;E15B20000440002
8000130C1D;1;E15B20000440002
8000135041;1;E15B20000440002
800013938D;1;E15B20000440002
8002998ADD;1;H32G19000170005
8021069B86;1;H17B16000800005
802121325E;1;H17B16000800005
8021613C72;1;F41G08000000008
80216402BD;1;H17B16000800005
80216857DE;1;H17B16000800005
8022814B8B;1;H17B16000800005
8023306191;1;H34E02000060005
8023313756;1;H34E02000060005
8028399C6E;1;J58F19000000008
8033852067;1;B46D08000000007
80396923B8;1;E71B04000030001
80452931D0;1;H41H14000130009
80475475DE;1;J69H12000480001
8049087CB5;1;C69G15001840001
80558666EC;1;D62H16000010002
8057036C6E;1;H17B16000800005
805914265D;1;C79H11000700003
8063456E61;1;C69G15001840001
806447681E;1;J11B09000190002
80669208F8;1;H17B16000800005
8068736396;1;B63E17000190001
8069477713;1;F32E10000080008
80761455AF;1;H17B16000800005
808527974C;1;B84H15002080003
8090567319;1;H17B16000800005
80925252E4;1;F21B07000310001
8092787B17;1;C69G15001840001
8094090E5B;1;H17B16000800005
8094102844;1;H17B16000800005
80957464F1;1;B87G19000000005
8101161989;1;H17B16000800005
8101198812;1;H17B16000800005
811398503F;1;B33H19001390001
