cup;cig;source_dataset
H87H21008610005;Z423BF21F3;cup_csv.csv
D43H19001010008;A0306C8F74;cup_csv.csv
F88B22001130002;A017226598;cup_csv.csv
D31B09000010002;ZA106EE8AB;cup_csv.csv
F22C16000620001;ZF2377F83C;cup_csv.csv
H69H09000500003;B4D5583E0D;cup_csv.csv
C69G15001840001;75114883FD;cup_csv.csv
B94E21012780001;9776241948;cup_csv.csv
C69G15001840001;Z2E1E66343;cup_csv.csv
G91B20000610005;ZA13813EAB;cup_csv.csv
D12J09000400001;Z9C2CD7137;cup_csv.csv
J69J21013810001;94225706BE;cup_csv.csv
B61B22000670006;B2ADF3E015;cup_csv.csv
F32E10000080008;ZDA1ECC6F6;cup_csv.csv
E38B22001630005;B6065E6A39;cup_csv.csv
C69G15001840001;Z2526E6F02;cup_csv.csv
G63J13000050002;A00F3375DF;cup_csv.csv
D31B09000010002;ZD406D82D1;cup_csv.csv
J86J13000450002;A03464972A;cup_csv.csv
F81B16001030001;B7D736256F;cup_csv.csv
J21B06000040003;Z0017D3309;cup_csv.csv
I41B19000280001;94693957F4;cup_csv.csv
F31B02000110002;Z990694052;cup_csv.csv
E15B20000440002;98715493F0;cup_csv.csv
H48B22000360002;B16D30B688;cup_csv.csv
F61B20000490001;B4E6790573;cup_csv.csv
E81D22000050003;A06D6EB80A;cup_csv.csv
C69G15001840001;Z9538DB7C3;cup_csv.csv
C79H11000700003;Z9A2235FF1;cup_csv.csv
E71B04000030001;A0293D96D6;cup_csv.csv
E63H05000030005;ZCA12E627D;cup_csv.csv
E19D22000350005;ZE238105AC;cup_csv.csv
E63H05000030005;Z2F0D5530D;cup_csv.csv
D22E18000470009;Z103CBECF7;cup_csv.csv
F41B19000540005;B523616934;cup_csv.csv
C69G15001840001;Z171F2CAAF;cup_csv.csv
D34D18000140005;8900773E3A;cup_csv.csv
F84E07000270001;A01ED006F4;cup_csv.csv
C69G15001840001;740198359A;cup_csv.csv
J76G16000220004;B5A3E535C1;cup_csv.csv
F41B19000540005;B522E2AFA3;cup_csv.csv
H69J02000070007;766072998D;cup_csv.csv
J51E24000120004;B45A66A12E;cup_csv.csv
C79H11000700003;66264764FB;cup_csv.csv
E59D16002030002;Z0C3866B52;cup_csv.csv
H81B21008560001;B6816D9E43;cup_csv.csv
C58B22000220004;9973088492;cup_csv.csv
E63H05000030005;Z420AB9A0B;cup_csv.csv
B33H19001390001;Z0631412CA;cup_csv.csv
E81D22000050003;A06D88AE80;cup_csv.csv
G52E22000020002;A05D21F0A7;cup_csv.csv
D31B09000010002;Z970DA6E98;cup_csv.csv
D77H24000760001;B5C3A9533A;cup_csv.csv
C79H11000700003;B4FFCCACBF;cup_csv.csv
C69G15001840001;A06D96C902;cup_csv.csv
H77H21000500005;8971640F86;cup_csv.csv
E38B22001630005;B5460ED77F;cup_csv.csv
G52E22000020002;9982719054;cup_csv.csv
F47H24000090001;B928DC670A;cup_csv.csv
E38B22001630005;B590907859;cup_csv.csv
