score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;J86J07000610004;RIASFALTATURA DI VIA TORRENOVA E COLLEGAMENTO VIARIO RICADENTE NEL MUNICIPIO VIII ROMA DELLE TORRI;Edilizia pubblica;LAZIO;ROMA;ROMA;161952000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J86J07000610004
100;J85D11000940004;SCUOLE MEDIE, UFFICI E CENTRI DI ASSISTENZA DI COMPETENZA DEL MUNICIPIO ROMA XI;Edilizia pubblica;LAZIO;ROMA;ROMA;156862000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J85D11000940004
100;H57D03000000002;Sede Comunale - Completamento -L.R.88/80 - Es. Fin. 2003 - D.G.R. n.1308/2000 - Mutuo Cassa DD.PP. Pos. n.4404287 00;Edilizia pubblica;LAZIO;FROSINONE;PIGLIO;154937000.0;COMUNE DI PIGLIO - FROSINONE -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/H57D03000000002
100;E41H01000000014;cablaggio della rete di trasmissione dati del fabbricato comunale sito in Via Calegna destinato a sede distaccata del Tribunale di Latina e opere murarie connesse;Edilizia pubblica;LAZIO;LATINA;GAETA;141588840.0;COMUNE DI GAETA - LATINA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E41H01000000014
100;E76B02000010002;ALLOGGI DI EDILIZIA RESIDENZIALE PUBBLICA;Edilizia pubblica;TOSCANA;LUCCA;MASSAROSA;134072210.0;E.R.P. LUCCA S.R.L. (SOGGETTO GESTORE DELL'EDILIZIA RESIDENZIALE PUBBLICA DELLA PROVINCIA DI LUCCA S.R.L.);programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E76B02000010002
100;C13J07000050004;COSTRUZIONE NUOVA SEDE CIIP IN LOCALITA' MALISCIA;Edilizia pubblica;MARCHE;ASCOLI PICENO;MONTALTO DELLE MARCHE;122602000.0;COMUNE DI MONTALTO DELLE MARCHE - AP -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/C13J07000050004
100;D17E02000000007;RISTRUTTURAZIONE DELLA SEDE COMUNALE;Edilizia pubblica;FRIULI-VENEZIA GIULIA;TRIESTE;SGONICO;116481120.0;COMUNE DI SGONICO - TRIESTE -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/D17E02000000007
100;C41J12000130004;RISTRUTTURAZIONE SEDE DEL MUNICIPIO;Edilizia pubblica;LOMBARDIA;BRESCIA;SERLE;90740000.0;COMUNE DI SERLE - BRESCIA -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/C41J12000130004
100;J81I99000000005;LINEA A, METROPOLITANA DI ROMA;Edilizia pubblica;LAZIO;ROMA;ROMA;82899144.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J81I99000000005
100;D48G07000000009;INVESTIMENTI LOMBARDI SRL VIA FERMI 33 SAN GIORGIO DI NOGARO.ATTIVITA DI GESTIONE IMMOBILIARE LEGGE 8/70COSTRUZIONE FABBRICATO PER LA PRODUZIONE DI LAMIERE.;Edilizia pubblica;FRIULI-VENEZIA GIULIA;UDINE;SAN GIORGIO DI NOGARO;80000000.0;REGIONE AUTONOMA FRIULI VENEZIA GIULIA;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/D48G07000000009
100;J11H02000040AB8;NODO DI TORINO;Edilizia pubblica;PIEMONTE;TORINO;TUTTI;79000000.0;RETE FERROVIARIA ITALIANA S.P.A.;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J11H02000040AB8
100;H21E11000250006;"IMMOBILI PRIVATI IN CLASSE DI PRIORITA' ""A"" - PEU 33 SP 2";Edilizia pubblica;MOLISE;CAMPOBASSO;CASTELLINO DEL BIFERNO;77145000.0;COMUNE DI CASTELLINO DEL BIFERNO - CAMPOBASSO -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H21E11000250006
100;I95F22000760002;REALIZZAZIONE DI UN EDIFICIO POLIFUNZIONALE NELLAREA OSPEDALIERA DI VIA GIUSTINIANI  PADOVA  FASE 2 MASTERPLAN - IN SOSTITUZIONE DELLEDIFICIO N. 30 (EX CUCINE) E PARZIALI RISTRUTTURAZIONI DEGLI EDIFICI ADIACENTI;Edilizia pubblica;VENETO;PADOVA;PADOVA;73436690.0;REGIONE VENETO AZIENDA OSPEDALE - UNIVERSITÀ PADOVA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I95F22000760002
78;E49E04000030003;EDIFICI ED ISTITUTI SCOLASTICI DI COMPETENZA PROVINCIALE;Energia;ABRUZZO;TERAMO;TERAMO;7670616000.0;AMMINISTRAZIONE PROVINCIALE DI TERAMO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E49E04000030003
78;B44I00000000003;CONCESSIONE PER LA COSTRUZIONE E GESTIONE DELL'IMPIANTO DI DISTRIBUZIONE DEL GAS METANO NEL TERRITORIO DEGLI 8 COMUNI ADERENTI AL CONSORZIO;Energia;ABRUZZO;L'AQUILA;OPI;5567405000.0;CONSORZIO ENERGIA E SERVIZI COMUNI DEL PNALM;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B44I00000000003
78;I13F24000140001;CORRIDOIO IONICO-TIRRENICO - HVDC PRIOLO-ROSSANO-MONTECORVINO-LATINA;Energia;CALABRIA;COSENZA;CORIGLIANO-ROSSANO;4114000000.0;TERNA RETE ITALIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I13F24000140001
78;I29I19000020001;HVDC CONTINENTE-SICILIA-SARDEGNA;Energia;SARDEGNA;SUD SARDEGNA;VILLASOR;2700000000.0;TERNA RETE ITALIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I29I19000020001
78;I53F24000010001;PROGETTO HYPERGRID HVDC MILANO-MONTALTO;Energia;LAZIO;VITERBO;MONTALTO DI CASTRO;2700000000.0;TERNA RETE ITALIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I53F24000010001
78;I13F24000020001;CLUSTER ADRIATICO  HVDC FOGGIA-VILLANOVA-FANO-FORLÌ;Energia;PUGLIA;FOGGIA;FOGGIA;2350000000.0;TERNA RETE ITALIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I13F24000020001
78;J84I08000040004;COMUNE DI ROMA;Energia;LAZIO;ROMA;ROMA;1245400000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J84I08000040004
78;I62D19000030001;HVDC CENTRO SUD - CENTRO NORD;Energia;MARCHE;PESARO E URBINO;FANO;1116000000.0;TERNA RETE ITALIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I62D19000030001
78;E63F22000090007;FSRU RAVENNA E COLLEGAMENTO ALLA RETE NAZIONALE GASDOTTI;Energia;EMILIA-ROMAGNA;RAVENNA;RAVENNA;1000000000.0;soggetto privato;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E63F22000090007
78;B64I06000140004;RETE DI DISTRIBUZIONE GAS METANO;Energia;LOMBARDIA;BERGAMO;BREMBATE DI SOPRA;935711000.0;COMUNE DI BREMBATE DI SOPRA - BG -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/B64I06000140004
78;F93D14001230007;IMPIANTO DI PRODUZIONE SOTTOMARINO (4 POZZI GAS) LINEE SOTTOMARINE DI INTERCONNESSIONE CONDOTTA SOTTOMARINA IMPIANTO DI RICEVIMENTO E TRATTAMENTO A TERRA INTERCONNESSIONI (LINEE ELETTRICHE E STRUMENTALI E CONDOTTA);Energia;SICILIA;CALTANISSETTA;GELA;900000000.0;ENI MEDITERRANEA IDROCARBURI SPA - GELA (CL);programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F93D14001230007
78;F75F07000100007;PROGETTO TEMPA ROSSA;Energia;BASILICATA;POTENZA;CORLETO PERTICARA;877000000.0;TOTAL ITALIA S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F75F07000100007
78;H89J21005010007;CONCESSIONE MEDIANTE PROJECT FINANCING EX ART. 183 C. 15 D.LGS. 50/2016 PER LA REALIZZAZIONE DELLEFFICIENTAMENTO ENERGETICO E MIGLIORAMENTO SISMICO DEL PATRIMONIO DELLATER PROVINCIA DI ROMA LOCALIZZATO NEL TERRITORIO DELLA PROVINCIA DI ROMA;Energia;LAZIO;ROMA;ROMA;816473241.0;ATER DELLA PROVINCIA DI ROMA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H89J21005010007
78;I21C22000010005;PATERNARIATO PER L'INNOVAZIONE FINALIZZATO ALL'INDIVIDUAZIONE ED EVENTUALE REALIZZAZIONE DI UN SISTEMA DI TRASPORTO PER MERCI E PASSEGGERI, ULTRAVELOCE A BASSO CONSUMO D'ENERGIA.;Energia;VENETO;PADOVA;PADOVA;800000000.0;CAV S.P.A. CONCESSIONI AUTOSTRADALI VENETE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I21C22000010005
